Rodzaj u¿ytkownika drogi;Liczba zabitych;Liczba rannych
Motorowerzyœci;77;1 468
Piesi;868;7 974
Pojazd nieustalony;0;35
Rowerzyœci;271;4 298
U¿ytkownicy autobusów;8;1 155
U¿ytkownicy ci¹gników;13;103
U¿ytkownicy czteroko³owców;12;58
U¿ytkownicy innych pojazdów;2;83
U¿ytkownicy motocykli;244;2 067
U¿ytkownicy poci¹gu;0;9
U¿ytkownicy samochodów ciê¿arowych;114;1 326
U¿ytkownicy samochodów osobowych;1 417;22 027
U¿ytkownicy tramwajów i trolejbusów;0;163
Podsumowanie ca³kowite;3 026;40 766
