Wina;Liczba wypadków;Liczba zabitych;Liczba rannych;Liczba kolizji
współwina uczestników ruchu;31;2;41;70
z winy kierujšcego;1614;203;1965;8137
z winy pieszego;489;61;433;444
Podsumowanie;2134;266;2439;8651
